中级python开发工程师[上海·徐家汇],python开发工程师[成都·高新区],python开发工程师[西安·雁塔区],python开发工程师[上海·塘桥],python开发工程师[上海·浦东新区],Python开发工程师[广州·棠下],python开发工程师[成都·武侯区],python开发工程师[北京·建国门],python开发工程师[广州·黄埔区],Python开发工程师[北京·海淀区],python开发[深圳·福田区],python开发工程师[广州·珠江新城],python开发[北京·建国门],python开发工程师[北京·七里庄],python开发工程师[上海·七宝]
“双休！节假日正常休息！高奖金！”,"“硅谷模式,MAC电脑,五险一金,氛围轻松”",“技术大牛云集 丰富下午茶”,“六险一金 大牛同事 零食多多 丰富团建”,“位置绝佳，人文环境优越，发展平台好”,“国企平台”,"“发展快,年终奖,人工智能”",“弹性工作、全额五险一金、股票期权、扁平管理”,“提供办公室零食、咖啡”,“团队氛围好、前景好”,“六险一金 福利齐全 周末双休 前景广阔”,“大数据 多绩效”,“技术主导 全额交金 团建 技术大牛 有发展”,"“""初创团队""aka:""心怀梦想.要啥有(没)啥!""”",“周末双休、节日福利、五险一金、绩效奖金”
Python开发工程师[广州·越秀区],Python开发实习生[上海·张江],python开发工程师[深圳·坂田],python开发工程师[深圳·坂田],高级python开发工程师[上海·浦东新区],初级Python研发工程师[北京·海淀区],python开发工程师[深圳·南山区],python开发工程师[广州·珠江新城],Python开发工程师[上海·黄浦区],python开发工程师[上海·金桥],python开发工程师[成都·金牛区],Python开发工程师（RPA开发方向）[广州·天河区],python开发工程师[上海·金桥],Python开发工程师（数据导出）[北京·海淀区],python开发工程师[上海·张江]
南方报业,星睿轩,外企德科人力资源服务,外企德科人力资源服务,玖奕基金,云孚科技,达观数据,德科信息,谷露软件,中软国际科技服务有限公司,法本信息,发业信息,中软国际科技服务有限公司,视野数科,达观数据
文化传媒 / 不需要融资 / 2000人以上,"IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 15-50人",企业服务 / 未融资 / 2000人以上,企业服务 / 未融资 / 2000人以上,"金融业,科技金融 / 不需要融资 / 15-50人",人工智能服务 / 不需要融资 / 15-50人,"人工智能服务,数据服务｜咨询 / C轮 / 500-2000人",物联网 / 不需要融资 / 2000人以上,工具类产品 / A轮 / 50-150人,IT技术服务｜咨询 / 上市公司 / 2000人以上,"人工智能服务,IT技术服务｜咨询 / 上市公司 / 2000人以上",专业服务｜咨询 / 未融资 / 50-150人,IT技术服务｜咨询 / 上市公司 / 2000人以上,科技金融 / A轮 / 50-150人,"人工智能服务,数据服务｜咨询 / C轮 / 500-2000人"
20k-40k,8k-12k,15k-30k,14k-28k,20k-40k,8k-16k,12k-24k,10k-15k,15k-30k,10k-18k,13k-17k,8k-13k,13k-26k,11k-18k,15k-30k
“国企，互联网氛围，965，稳定环境，年金+商业险”,“五险一金 公司氛围好 双休基本不加班”,“全额五险一金、双休、年终奖、年度体检”,“六险一金 导师带教 丰富年终奖”,“五险一金、弹性工作、带薪年假、宝藏老板”,“哈工大孵化、认知智能、大牛带队、挑战多成长快”,“公司发展稳定、独角兽、待遇丰厚、产品线多”,“python Django”,“最具极客精神的技术氛围，最NICE的工作伙伴”,“保密项目，成长平台”,“python爬虫”,“RPA开发”,“周末双休，加班双倍薪资”,“五险一金，周末双休”,“一对一带教；晋升机制；弹性工作制”
python开发工程师[北京·望京],Python高级软件工程师[广州·天河北],高级Python教师[广州·天河北],python高级开发工程师[广州·海珠区],Python开发工程师-2023届[成都·高新区],Python开发工程师-2023届[广州·越秀区],自动化测试工程师（英语/Python）[上海·洋泾],急聘Python开发工程师[杭州·西溪],python开发工程师[杭州·西溪],python开发工程师[深圳·南山区],python开发工程师[成都·武侯区],python开发工程师[广州·番禺区],python开发工程师[成都·金牛区],Python开发工程师[杭州·余杭区],python开发工程师[成都·金牛区]
微创软件,英荔教育,英荔教育,数立方,友邦科技,友邦科技,坤亿科技,五色云,米链科技,微创软件,奇安信集团,赛意,北京瑞联,浙江保融,北京瑞联
IT技术服务｜咨询 / 不需要融资 / 2000人以上,在线教育 / 天使轮 / 50-150人,在线教育 / 天使轮 / 50-150人,数据服务｜咨询 / 上市公司 / 50-150人,IT技术服务｜咨询 / 上市公司 / 500-2000人,IT技术服务｜咨询 / 上市公司 / 500-2000人,IT技术服务｜咨询 / 不需要融资 / 150-500人,"企业服务,电商 / 不需要融资 / 15-50人","人工智能服务,软件服务｜咨询 / 不需要融资 / 150-500人",IT技术服务｜咨询 / 不需要融资 / 2000人以上,信息安全 / 上市公司 / 2000人以上,IT技术服务｜咨询 / 上市公司 / 2000人以上,"移动互联网,电商 / D轮及以上 / 500-2000人",科技金融 / 不需要融资 / 500-2000人,"移动互联网,电商 / D轮及以上 / 500-2000人"
20k-30k,9k-18k,10k-18k,15k-30k,4k-5k,4k-5k,14k-18k,12k-24k,15k-30k,10k-14k,15k-25k,9k-14k,16k-20k,11k-22k,15k-18k
“外企背景，架构清晰”,“双休 带薪假 年假 晋升大 气氛融洽”,“月休8日 五险一金 团队氛围佳 发展前景佳”,"“技术氛围浓,五险一金,无996加班文化”",“500强，福利好，六险一金， 周末双休”,“500强，福利好，六险一金， 周末双休”,“不加班不内卷”,“周末双休，朝九晚六”,“可分布式办公”,“五险一金 上下班班车接送”,“核心团队 大牛多多 福利完善”,“弹性考勤”,“不加班、节假日福利”,“发展空间大，福利佳”,“六险一金 双休不加班 13薪”
python开发工程师[上海·浦东新区],python开发工程师[杭州·西溪],python开发工程师[北京·西单],python开发工程师[大连·凌水],python工程师[上海·静安区],python开发工程师[深圳·科技园],python开发工程师[北京·西二旗],python开发工程师[上海·虹梅路],python开发工程师[深圳·东门],python开发工程师[上海·龙华],python开发工程师[杭州·西湖区],python开发工程师[成都·武侯区],Python开发工程师[深圳·西丽],python开发工程师[深圳·龙华新区],python开发工程师[深圳·龙华新区]
CLPS,京北方,京北方,职问网络,神策数据,观麦科技,贝壳,赞同科技,博奥特科技,安势信息,个推,仰格科技,Snapmaker,万博时代,万博时代
软件服务｜咨询 / 上市公司 / 500-2000人,IT技术服务｜咨询 / 上市公司 / 2000人以上,IT技术服务｜咨询 / 上市公司 / 2000人以上,"软件服务｜咨询,IT技术服务｜咨询,数据服务｜咨询 / 未融资 / 50-150人",数据服务｜咨询 / D轮及以上 / 500-2000人,IT技术服务｜咨询 / C轮 / 150-500人,居住服务 / 上市公司 / 2000人以上,"软件服务｜咨询,数据服务｜咨询 / 不需要融资 / 2000人以上","IT技术服务｜咨询,软件服务｜咨询 / 未融资 / 500-2000人",信息安全 / 天使轮 / 50-150人,数据服务｜咨询 / 上市公司 / 500-2000人,科技金融 / 不需要融资 / 150-500人,"IT技术服务｜咨询,智能硬件 / A轮 / 150-500人","电商平台,营销服务｜咨询,制造业 / 未融资 / 150-500人","电商平台,营销服务｜咨询,制造业 / 未融资 / 150-500人"
20k-23k,10k-17k,10k-15k,10k-15k,25k-35k,15k-30k,20k-30k,15k-18k,15k-21k,20k-40k,18k-35k,25k-40k,20k-30k,15k-28k,15k-25k
“外企不加班，晋升机会多”,“双休 五险一金”,“周末双休，五险一金，有饭补”,“试用期薪资不打折全额开，入职就缴纳五险一金”,“六险一金、餐补、团建等”,“年度调薪”,“带薪年假 定期体检 弹性工作 扁平管理”,“稳定项目”,“大咖云集”,“下午茶 旅游 年假”,“五险一金 工作氛围好”,“季度奖金、周末双休、各类津贴”,“团队氛围好，离职率低，双休”,“团队实力雄厚”,“自研项目，团队氛围好，公司年轻化”
